location_label,description,charger_type
Fiesta Americana Aguascalientes,"Calle Los Laureles S/N Las Flores, Aguascalientes, AGU 20020",charger
Fiesta Inn Aguascalientes,"Calle Mahatma Gandhi #302 Sur Prados de Villasuncion, Desarrollo Especial Villa Asunci├│n,, Aguascalientes, AGU 20280",charger
One Aguascalientes San Marcos,"Los Laureles No. 404 Fracc. Las Flores, Aguascalientes., AGU 20220",charger
Adobe Guadalupe,"Parcela A-1 s/n Rusa de Guadalupe, Ensenada, Baja California 22750",charger
Bajamar,"Ensenada, Carretera Tijuana - Ensenada Km. 77.5 Bajamar, Ensenada, Baja California 22760",charger
Bruma Valle de Guadalupe,"Carretera Tecate Ensenada Km. 74 Valle de Guadalupe, Ensenada, Baja California 22760",charger
Cantina Hussong's,"Av. Ruiz #113 Zona Centro, Ensenada, Baja California 22800",charger
Casa de Piedra Vinicola,"Carretera Ensenada Tecate Kilometro 93.5 San Antonio de las Minas, Ensenada, Baja California 22761",charger
Cuatro Cuatros,"El Tigre , Carretera libre Tijuana-Ensenada Km. 89 El Sauzal de Rodriguez, Ensenada, Baja California 22760",charger
Santuario Diegueño,"798 Río Yaqui, Tecate, Baja California 21420",charger
Encuentro Guadalaupe,"Carretera Tecate- Ensenada Km. 75 Valle de Guadalupe, Ensenada, Baja California 22750",charger
Entre Santos Bodegas de Santo Tomas,"Carretera Ensenada - Tecate Km. 94 San Antonio de las Minas, Ensenada, Baja California 22800",charger
Estero Beach,"Calle Playas del Estero S/N Ex-Ejido Chapultepec, Ensenada, Baja California 22785 Ensenada",charger
Fiesta Inn Mexicali,"Calzada Adolfo Lopez Mateos 1029 Industrial Centro Civico, Mexicali, Baja California 21000",charger
Fiesta Inn Tijuana Otay Aeropuerto,"Rampa Aeropuerto 16000 La Pechuga, Tijuana, Baja California 22000",charger
Gamma by Fiesta Inn Tijuana,"Blvd. Tijuana 17226 Col. Otay Constituyentes, Tijuana, Baja California 22457",charger
Gran Via Mexicali,"Calzada Cetys Manuel Gomez Morin, Mexicali, Baja California 21254",charger
Holiday Inn Ensenada,"Blancarte No. 151 Col. Centro, Ensenada, Baja California 22800",charger
Hotel Coral & Marina,"Carretera Tijuana-Ensenada Km.103 #3421 Zona Playitas, Ensenada, Baja California 22860",charger
Hotel Las Rosas & Spa,"Carretera Tijuana - Ensenada Km 105. 5 El Sauzal, Ensenada, Baja California 22760",charger
Hotel Pueblo Amigo,"9211 Via Oriente Zona del Rio, Tijuana, Baja California 22320",charger
Hotel Punta Morro,"Carretera Tijuana-Ensenada Km. 106, Ensenada, Baja California 22870",charger
Hyatt Place Tijuana,"10488 Blvd. Agua Caliente 10488, Colonia Aviación, Tijuana, Baja California 22014",charger
Jaz-Baja,"Camino Vecinal sin nombre, fracc. 6B de la fracc. 5 L9 sn El Porvenir, Ensenada, Baja California 22755",charger
La Cabana Del Abuelo,"Tijuana-Mexicali Km. 71.5, La Rumorosa, Baja California 21505",charger
Las Nubes Bodegas y Vinedos,"Callejon Emiliano Zapata Ejido el Porvenir, Valle de Guadalupe, Baja California 22750",charger
Malva Restaurante,"Km 96 carretera Ens Tecate, San Antonio De Las Minas, Baja California 22755",charger
Marina Puerto Salina,"Autopista Tijuana Ensenada KM 73 Abelardo L. Rodriguez, Ensenada, Baja California 22765",charger
Marina San Felipe,"Carretera San Felipe km 4.5 Fondeport, San Felipe, Baja California 21850",charger
Mision Catavina,"Carretera Transpeninsular 179 Conjunto Residencial Catavina, Catavina, Baja California 22965",charger
Mision Santa Maria,"Camino Playa Santa Maria S/N San Quintin, Ensenada, Baja California 22930",charger
Monte Xanic Bodega Vini-cola,"Calle Francisco Zarco S/N Col. Valle de Guadalupe, Ensenada, Baja California 22785",charger
Plaza Paseo la Paz,"Libramiento Sur Daniel Roldan No. 1515 Int. A-1 San Antonio El Zacatal, La Paz, Baja California 23090",charger
Restaurante Heidelberg,"Ave. Fco. I. Madero y Calle H S/N Nueva, Mexicali, Baja California 21100",charger
Rosarito Beach Hotel,"Blvd. Benito Juarez 31 Col Centro, Rosarito, Baja California 22710",charger
Sheraton Los Cabos,"Corredor Turistico Km. 10 Lote D Cabo del Sol, Cabo San Lucas, Baja California 23410",charger
Shimul,"Rancho Pet'ay, Valle de Guadalupe, Baja California 22750",charger
Villa del Valle - Valle de Guadalupe,"Rancho San Marcos Toros Pintos S/N Km 88.300 Francisco Zarco, Ensenada,, Baja California 22750",charger
Vinas de Garza,"Carretera Tecate - Ensenada Km 87 Valle de Guadalupe, Ensenada, Baja California 22650",charger
Vinicola Decantos,"Rancho San Miguel Fraccion A, S/N Ejido El Porvenir, Ensenada, Baja California 22755",charger
Grand Fiesta Americana Los Cabos All Inclusive Golf,"Km 10.3, Carr. Transpeninsular Cabo del Sol, Los Cabos, BCS 23410",charger
Hotel Cuesta Real,"Carret Transpeninsular Km. 132 Las Huertas, Mulege, BCS 23880 Mulege",charger
Hotel Doce Ballenas,"Blvd Benito Juarez esq/ Belisario Dom├¡nguez Centro, Ciudad Insurgentes, Baja California Sur 23700",charger
Hotel La Huerta,"34 Profesor Valdivia, San Ignacio, BCS 23930",charger
Hotel One la Paz,"Nicolas Bravo No.590 Esq. Ignacio Altamirano Zona Central, La Paz, BCS 23000",charger
Hotel Plaza Loreto,"Av. Miguel Hidalgo 2 Col. Centro, Loreto, BCS 23880",charger
Hotel Terrasal,"Blvd.Emiliano Zapata s/n Col. Fundo Legal, Guerrero Negro, BCS 23940",charger
Maria de Nadie Hotel Boutique,"Belisario Dominguez entre Rosaura Zapata e Ignacio Zaragoza, Cd Constitucion, BCS 23600",charger
Paseo Esperanza,"Carretera Transpeninsular Km. 25 Cerro Colorado, San Jose del Cabo, BCS 23400",charger
Patio Plaza Los Cabos,"Carr. Todos Santos - Los Cabos Los Aguajitos, Cabo San Lucas, BCS 23473",charger
Plaza Patio San Jose,"Calle Valerio Gonzalez 137 Campo de Golf Fonatur, Cabo San Lucas, BCS 23400",charger
Solaz Los Cabos,"Corredor Turistico s/n, Km 18.5 Cabo Real, San Jose del Cabo, BCS 23405",charger
Viceroy Los Cabos,"Paseo Malecon San Jose Lote 8 Zona Hotelera, San Jos├⌐ del Cabo, BCS 23400",charger
Villa del Palmar at The Islands of Loreto,"m. 84 Calle Carretera Transpeninsular Ensenada Blanca, Loreto, BCS 23880",charger
Walmart Plateros,"Blvd. Adolfo Lopez Mateos 1701 Lomas de Plateros, Ciudad de Mexico, Benito Juarez 1480",charger
Fiesta Inn Ciudad del Carmen,"Av. Periferico Norte s/n Parque Alameda, Colonia Centro, Ciudad del Carmen, CAM 24170",charger
Fiesta Inn Loft Ciudad del Carmen,"Avenida Luis Donaldo Colosio Esq Calle 20 S/N Miguel de la Madrid, Ciudad del Carmen, CAM 24130",charger
Gamma Campeche Malecon,"Av. Ruiz Cortines No. 51 Col. Centro, Campeche, CAM 24000",charger
Fiesta Inn Tuxtla Gutierrez,"Av. Prolongacion Anillo Circunvalacion Sur 248 Santa Elena, Tuxtla Gutierrez, CHP 29060",charger
Hilton Garden Inn Tuxtla Gutierrez,"Blvd. Belisario Dominguez 1641 Jardines de Tuxtla, Tuxtla Gutierrez, CHP 29020",charger
Hotel San Francisco,"Calle Central Sur Oriente 94 Centro, 16 de Septiembre, Tapachula de Cordova y Ordonez, CHP 30700",charger
Alsuper Freshmarket Santa Fe,"Periferico de La Juventud 990 Haciendas Sta Fe, Chihuahua, CHH 31215",charger
Courtyard by Marriot Chihuahua,"Via Lombardia 5702, Plaza Citadela D1 Col. Saucito, Chihuahua, CHH 31110",charger
Courtyard by Marriott Juarezz,"Mision de los Lagos 9020 Partido Iglesias, Ciudad Juarez, CHH 32668",charger
Edificio Corporativo Vetro D1,"Av. de la Juventud Insurgentes II, Chihuahua, CHH 31207",charger
Fiesta Inn Chihuahua,"Boulevard Antonio Ortiz Mena 2801 Quintas del Sol, Chihuahua, CHH 31250",charger
Fiesta Inn Ciudad Juarez,"Paseo Triunfo de la Republica 3451 Circuito Pronaf, Cd Juarez, CHH 32315",charger
Plaza 3106,"Periferico de la Juventud 3102 Puerta de Hierro, Chihuahua, CHH 31215",charger
Plaza Barrancas,"Bulevar Tomas Fernandez 9050 Campos El iseos, Cd Juarez, CHH 32470",charger
Plaza Cantabria,"Av. Paseo Triunfo de la Republica 5854 Sicomoros, Cd Juarez, CHH 32349",charger
The Lofts,"Avenida de la Juventud 5700 Saucito, Chihuahua, CHH 31110",charger
AC hotel by Marriott Santa Fe,"Juan Salvador Agraz 130 Lomas de Santa Fe, Contadero, Cuajimalpa, CMX 5348",charger
Altezza Palmas,"Av. Paseo de las Palmas 340 Lomas - Virreyes, Lomas de Chapultepec V Secc, Miguel Hidalgo, CMX 11000",charger
Cafe O Lomas,"Calle Monte L├¡bano #245 Lomas de Chapultepec V Secc, Miguel Hidalgo, CMX 11000",charger
Centro Comercial Mundo E,"Manuel Avila Camacho 1007 San Lucas Tepetlacalco, Tlalnepantla, CMX 54055",charger
Centro Dinßmico Pegaso,"Carretera Toluca Naucalpan km 52.5 San Mateo Otzacatipan, Toluca de Lerdo, CMX 50220",charger
Cervantes 169,"Blvd. Miguel de Cervantes Saavedra 169 Granada, Miguel Hidalgo, CMX 11520",charger
Cipriani Polanco,"Presidente Masaryk 311 Polanco, Miguel Hidalgo, CMX 11550",charger
City Express Ciudad de Mexico Buenavista,"Insurgentes Nte. 226 Santa Maria la Ribera, Ciudad de Mexico, CMX 6400",charger
Club de Golf Mexico,"Glorieta Sur 64 San Buenaventura, Xochimilco, CMX 14620",charger
Club Deportivo Chapultepec,"Calz. Gral. Mariano Escobedo 665 Polanco, Bosque de Chapultepec I Secc,, Miguel Hdalgo, CMX 11590",charger
COPEMSA Bajio,"Bajio No. 322 Esq. Chilpancingo Roma Sur, Cuauhtemoc, CMX 8760",charger
COPEMSA Colegio M├⌐xico,"Carretera Picacho Ajusco s/n Jardines de la montana, Tlalpan, CMX 14738",charger
COPEMSA Etiopia,"Anaxagoras No. 302 Esq. con Morena. Narvarte, Benito Juarez, CMX 11550",charger
COPEMSA Gran Plaza,"Palma Norte No. 37 Centro Historico, Cuauhtemoc, CMX 6000",charger
COPEMSA San Juan,"Aranda No.10 Esq. Ayuntamiento Centro, Cuauhtemoc, CMX 6760",charger
COPEMSA Tolstoi,"Mariano Escobedo No. 726 Esq. Leon Tolstoi Nueva Anzures, Miguel Hidalgo, CMX 11590",charger
COPEMSA Vizcainas,"Plaza de las Vizcainas s/n Eje Central Lazaro Cardena, Cuauhtemoc, CMX 6010",charger
Corporativo Lomas Cantabria A.C.,"Cerrada de Palomas 22 Reforma Social, Miguel Hidalgo, CMX 11650",charger
Courtyard Mexico City Airport,"Sinaloa 31 Pe├▒├│n de los Ba├▒os, Venunstiano Carranza, CMX 15520",charger
Crater 823,"Crater 823 Jardines del Pedregal, Alvaro Obregon, CMX 1900",charger
Downtown Santa Fe,"Av. Santa Fe 428 H2O Zedec Santa Fe., Cuajimalpa, CMX 5349",charger
Fiesta Americana Grand Chapultepec,"Av. Mariano Escobedo #756 Anzures, Miguel Hidalgo, CMX 11590",charger
Fiesta Americana Reforma,"Paseo de la Reforma 80 Juarez, Cuauhtemoc, CMX 6600",charger
Fiesta Inn Insurgentes Viaducto,"Av. Insurgentes Sur 553 Escandon I Secc, Benito Juarez, CMX 11800",charger
Fiesta Inn Periferico Sur,"Periferico Sur #5530 Col. Pedregal de Carrasco, Coyoacan, CMX 4700",charger
Fiesta Inn Plaza Central Aeropuerto,"Calle Canal Rio Churubusco 1635 Central de Abasto, Iztapalapa, CMX 9040",charger
"Four Seasons Hotel Mexico, D.F.","Paseo de la Reforma 500 Juarez, Cuauhtemoc, CMX 6600",charger
German Center,"Av Sta Fe 170 Zedec Sta Fe, Alvaro Obregon, CMX 1219",charger
Gran Sur,"Periferico Sur 5550, Pedregal de Carrasco El Caracol, Coyoacan, CMX 4700",charger
Holiday Inn Churubusco,"Rio Churubusco 253 Col. Granjas Mexico, Iztacalco, CMX 8400",charger
Hotel Galeria Plaza Reforma,"Hamburgo 195 Colonia Juarez, Cuauhtemoc, CMX 6600",charger
