location_label,description,charger_href,charger_type,lat,lon
Bruma Valle de Guadalupe,"Carretera Tecate Ensenada Km. 74 Valle de Guadalupe, Ensenada, Baja California 22760",https://www.tesla.com/findus/location/charger/dc20124,charger,32.0446425,-116.5986357
Santuario Diegueño,"798 Río Yaqui, Tecate, Baja California 21420",https://www.tesla.com/findus/location/charger/dc20848,charger,32.5744366,-116.6190991
Encuentro Guadalaupe,"Carretera Tecate- Ensenada Km. 75 Valle de Guadalupe, Ensenada, Baja California 22750",https://www.tesla.com/findus/location/charger/dc17442,charger,32.0446425,-116.5986357
Entre Santos Bodegas de Santo Tomas,"Carretera Ensenada - Tecate Km. 94 San Antonio de las Minas, Ensenada, Baja California 22800",https://www.tesla.com/findus/location/charger/dc23052,charger,31.9671581,-116.659572
Hotel Las Rosas & Spa,"Carretera Tijuana - Ensenada Km 105. 5 El Sauzal, Ensenada, Baja California 22760",https://www.tesla.com/findus/location/charger/dc22950,charger,31.8699206,-116.6770124
Hotel Pueblo Amigo,"9211 Via Oriente Zona del Rio, Tijuana, Baja California 22320",https://www.tesla.com/findus/location/charger/dc15033,charger,32.5288597,-117.0159316
Hotel Punta Morro,"Carretera Tijuana-Ensenada Km. 106, Ensenada, Baja California 22870",https://www.tesla.com/findus/location/charger/dc13438,charger,31.8664093,-116.6621611
Vinas de Garza,"Carretera Tecate - Ensenada Km 87 Valle de Guadalupe, Ensenada, Baja California 22650",https://www.tesla.com/findus/location/charger/dc22948,charger,32.1128117,-116.546857
Cervantes 169,"Blvd. Miguel de Cervantes Saavedra 169 Granada, Miguel Hidalgo, CMX 11520",https://www.tesla.com/findus/location/charger/dc48200,charger,19.4408663,-99.19682
Cipriani Polanco,"Presidente Masaryk 311 Polanco, Miguel Hidalgo, CMX 11550",https://www.tesla.com/findus/location/charger/dc17446,charger,19.4316836,-99.1941283
COPEMSA Colegio M├⌐xico,"Carretera Picacho Ajusco s/n Jardines de la montana, Tlalpan, CMX 14738",https://www.tesla.com/findus/location/charger/dc31378,charger,19.3030172,-99.2075135
Corporativo Lomas Cantabria A.C.,"Cerrada de Palomas 22 Reforma Social, Miguel Hidalgo, CMX 11650",https://www.tesla.com/findus/location/charger/dc17546,charger,19.4339694,-99.2125988
